"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","condition","grade","sqft_above","sqft_basement","yr_built","zipcode"
"34",535000,3,1,1090,3000,1.5,4,8,1090,0,1929,98117
"35",322500,4,2.75,2060,6659,1,3,7,1280,780,1981,98058
"36",696000,3,2.5,2300,3060,1.5,3,8,1510,790,1930,98115
"37",550000,4,1,1660,34848,1,1,5,930,730,1933,98052
"38",640000,4,2,2360,6000,2,4,8,2360,0,1904,98107
"39",240000,4,1,1220,8075,1,2,7,890,330,1969,98001
"40",605000,4,2.5,2620,7553,2,3,8,2620,0,1996,98056
"41",625000,4,2.5,2570,5520,2,3,9,2570,0,2000,98074
"42",775000,4,2.25,4220,24186,1,3,8,2600,1620,1984,98166
"43",861990,5,2.75,3595,5639,2,3,9,3595,0,2014,98053
"44",685000,3,1,1570,2280,2,3,7,1570,0,1922,98119
"45",309000,3,1,1280,9656,1,4,6,920,360,1959,98058
"46",488000,3,2.5,3160,13603,2,3,8,3160,0,2003,98019
"47",210490,3,1,990,8528,1,3,6,990,0,1966,98023
"48",785000,4,2.5,2290,13416,2,4,9,2290,0,1981,98007
"49",450000,3,1.75,1250,5963,1,4,7,1250,0,1953,98115
"50",1350000,3,2.5,2753,65005,1,5,9,2165,588,1953,98070
"51",228000,3,1,1190,9199,1,3,7,1190,0,1955,98148
"52",345000,5,2.5,3150,9134,1,4,8,1640,1510,1966,98056
"53",6e+05,3,1.75,1410,4080,1,4,7,1000,410,1950,98117
"54",585000,2,1.75,1980,8550,1,3,7,990,990,1981,98117
"55",920000,5,2.25,2730,6000,1.5,3,8,2130,600,1927,98105
"56",885000,4,2.5,2830,5000,2,3,9,2830,0,1995,98105
"57",292500,4,2.5,2250,4495,2,3,7,2250,0,2008,98042
"58",301000,3,2.5,2420,4750,2,3,8,2420,0,2003,98042
"59",951000,5,3.25,3250,14342,2,4,8,3250,0,1968,98008
"60",430000,4,3,1850,9976,2,3,8,1850,0,1991,98059
"61",650000,3,2.25,2150,21235,1,4,8,1590,560,1959,98166
"62",289000,3,1.75,1260,8400,1,3,7,1260,0,1954,98148
"63",505000,3,1.75,2519,8690,2,5,8,2519,0,1973,98166
"64",549000,3,1.75,1540,1044,3,3,8,1540,0,2014,98115
"65",425000,3,2.25,1660,6000,1,3,7,1110,550,1979,98122
"66",317625,3,2.75,2770,3809,1.5,5,7,1770,1000,1925,98144
"67",975000,4,2.5,2720,11049,2,3,10,2720,0,1989,98004
"68",287000,4,2.5,2240,4648,2,3,7,2240,0,2005,98001
"69",204000,3,1,1000,12070,1,4,7,1000,0,1968,98042
"70",1330000,5,2.25,3200,20158,1,3,8,1600,1600,1965,98004
"71",1040000,5,3.25,4770,50094,1,4,11,3070,1700,1973,98005
"72",325000,3,2,1260,5612,1,4,7,1260,0,1972,98034
"73",571000,4,2,2750,7807,1.5,5,7,2250,500,1916,98125
"74",360000,4,2.5,2380,5000,2,3,8,2380,0,2005,98038
"75",349000,3,1.75,1790,50529,1,5,7,1090,700,1965,98042
"76",832500,4,4,3430,35102,2,4,10,2390,1040,1986,98075
"77",380000,4,1.75,1760,7300,1,3,7,880,880,1956,98008
"78",480000,3,1,1040,5060,1,3,7,1040,0,1941,98116
"79",410000,3,1,1410,5060,1,4,7,910,500,1956,98133
"80",720000,4,2.5,3450,39683,2,3,10,3450,0,2002,98010
"81",390000,3,2.5,2350,5100,2,3,8,2350,0,2003,98038
"82",360000,4,2.5,1900,5889,2,3,7,1900,0,1992,98038
"83",355000,2,1,2020,6720,1,3,7,1010,1010,1948,98118
"84",356000,3,1.5,1680,8712,1,3,8,1680,0,1964,98059
"85",315000,3,1,960,6634,1,3,6,960,0,1952,98125
"86",940000,3,1.5,2140,3600,2,3,9,1900,240,1925,98119
"87",305000,5,2.25,2660,8400,1.5,5,7,2660,0,1961,98092
"88",461000,3,3.25,2770,6278,2,3,9,1980,790,2006,98056
"89",215000,2,2.25,1610,2040,2,4,7,1610,0,1979,98056
"90",335000,2,1.75,1030,1066,2,3,7,765,265,2006,98136
"91",243500,4,2.5,1980,7403,2,3,7,1980,0,1988,98023
"92",1100000,5,2.75,3520,6353,2,4,10,3520,0,2001,98199
"93",153000,3,1,1200,10500,1,3,7,1200,0,1962,98023
"94",430000,3,1.5,1580,5000,1,3,8,1290,290,1939,98117
"95",7e+05,3,1.5,1580,5000,1,3,8,1290,290,1939,98117
"96",905000,4,2.5,3300,10250,1,3,7,2390,910,1946,98040
"97",247500,3,1.75,1960,15681,1,3,7,1960,0,1967,98032
"98",199000,4,1.5,1160,6400,1,4,7,1160,0,1975,98023
"99",314000,3,1.75,1810,41800,1,5,7,1210,600,1980,98038
"100",437500,3,2.5,2320,36847,2,3,9,2320,0,1992,98045
"101",850830,3,2.5,2070,13241,1.5,5,9,1270,800,1910,98102
"102",555000,3,2,1980,3478,1.5,4,7,1440,540,1929,98117
"103",699950,3,2.25,2190,107593,2,4,8,2190,0,1983,98077
"104",1090000,3,2.5,2920,8113,2,3,8,2920,0,1950,98004
"105",290000,3,1,1210,33919,1,3,7,1210,0,1954,98058
"106",375000,3,2.5,2340,10005,1,4,8,1460,880,1978,98058
"107",460000,3,1,1670,4005,1.5,4,7,1170,500,1939,98117
"108",188500,2,1.75,1240,2493,1,4,8,1240,0,1985,98198
"109",680000,4,2.5,3140,28037,2,4,10,3140,0,1991,98077
"110",470000,5,1.75,2030,12342,2,4,7,2030,0,1942,98052
"111",597750,4,2.5,2310,9624,2,3,8,2310,0,1984,98027
"112",570000,3,1.75,1260,3328,1,5,6,700,560,1905,98103
"113",272500,3,1.75,1540,12600,1,4,7,1160,380,1980,98038
"114",329950,3,1.75,2080,5969,1,3,7,1080,1000,1971,98108
"115",480000,4,2.5,3230,16171,2,3,9,2520,710,2001,98001
"116",740500,3,3.5,4380,6350,2,3,8,2780,1600,1900,98117
"117",518500,3,3.5,1590,1102,3,3,8,1590,0,2010,98103
"118",205425,2,1,880,6780,1,4,6,880,0,1945,98178
"119",171800,4,2,1570,9600,1,3,6,1570,0,1950,98168
"120",535000,4,1,1610,2982,1.5,4,7,1610,0,1925,98144
"121",660000,3,2.5,2400,6474,1,3,8,1560,840,1964,98177
"122",391500,3,2,1450,9132,1,3,7,1450,0,1987,98034
"123",395000,2,1,770,6000,1,3,6,770,0,1953,98117
"124",445000,4,1.75,2100,4400,1.5,5,7,1720,380,1924,98118
"125",770000,3,2.25,2910,10204,2,3,9,2910,0,1990,98052
"126",1450000,4,2.75,2750,17789,1.5,3,8,1980,770,1914,98004
"127",445000,3,2.25,2100,8201,1,3,8,1620,480,1967,98178
"128",260000,4,2.25,2160,8811,1,3,8,1360,800,1978,98023
"129",822500,5,3.5,2320,4960,2,5,7,1720,600,1926,98103
"130",430000,4,2.5,2070,4310,2,3,7,2070,0,2004,98065
"131",212000,3,1.75,1060,7875,1,4,7,1060,0,1986,98092
"132",660500,4,2.25,2010,9603,1,3,8,1440,570,1986,98027
"133",784000,3,3.5,3950,111078,1.5,3,9,2460,1490,1989,98052
"134",453246,3,2.5,2010,2287,2,3,8,1390,620,2014,98029
"135",675000,4,3.5,2140,2278,3,3,9,2140,0,2005,98107
"136",199000,3,1.75,1320,17390,1,4,7,1320,0,1956,98003
"137",220000,4,1.75,2020,7840,1,3,7,1010,1010,1968,98003
"138",452000,4,2.25,2590,10002,1,4,8,1340,1250,1968,98028
"139",382500,2,1,1190,4440,1,3,6,1190,0,1981,98125
"140",519950,3,2.25,1170,1249,3,3,8,1170,0,2014,98107
"141",665000,2,1,1110,3200,1,3,7,1110,0,1925,98119
"142",527700,5,2.5,2820,9375,1,4,8,1550,1270,1968,98006
"143",205000,3,1,1610,8579,1,4,7,1010,600,1962,98058
"144",420000,3,1,1060,8097,1,4,7,940,120,1923,98133
"145",5e+05,4,2.25,2030,8517,1,4,8,1380,650,1961,98006
"146",921500,4,2.5,3670,315374,2,4,9,3670,0,1994,98077
"147",890000,4,1,2550,4000,2,3,8,2370,180,1905,98109
"148",430000,2,2.5,2420,60984,2,3,7,2420,0,2007,98027
"149",258000,5,2,2260,12500,1,4,8,1130,1130,1960,98032
"150",511000,3,1,1430,3455,1,3,7,980,450,1947,98103
"151",532170,3,2,1360,3090,2,3,8,1360,0,1990,98103
"152",560000,3,1,1110,5000,1.5,3,7,1110,0,1947,98107
"153",282950,3,1,1250,8200,1,4,7,1250,0,1954,98003
"154",2250000,4,3.25,5180,19850,2,3,12,3540,1640,2006,98006
"155",350000,1,1,700,5100,1,3,7,700,0,1942,98115
"156",215000,3,1,1180,7669,1,4,7,1180,0,1967,98058
"157",650000,5,3.5,3960,25245,2,3,9,2500,1460,1996,98056
"158",320000,4,2.75,2640,7500,1,3,8,1620,1020,1967,98023
"159",247000,3,2,1270,7198,1.5,3,7,1270,0,1916,98022
"160",320000,4,1.75,1760,11180,1,4,8,1760,0,1968,98059
"161",255000,5,2.25,2060,8632,1,3,7,1030,1030,1962,98146
"162",438000,3,1.75,1780,9660,1,3,7,1780,0,1962,98034
"163",9e+05,3,2.5,3400,16603,2,3,10,3400,0,2000,98075
"164",441000,3,2.75,1910,7280,1,3,7,1160,750,1979,98034
"165",420000,3,2,2020,38332,1,4,7,1010,1010,1975,98027
"166",370000,3,1.75,1580,7000,1,3,7,1180,400,1976,98034
"167",269950,2,1.75,1340,7250,1,5,5,700,640,1949,98198
"168",807100,4,2.5,2680,4499,2,3,9,2680,0,1999,98006
"169",653000,3,2.5,2680,9750,1,4,8,1610,1070,1979,98034
"170",371500,3,2,1370,8336,1,5,7,1370,0,1964,98133
"171",284000,3,1.75,1560,21000,1,3,7,1560,0,1954,98166
"172",272000,3,1.75,2160,7140,1,4,7,1670,490,1978,98023
"173",313000,3,1.5,1340,7912,1.5,3,7,1340,0,1955,98133
"174",917500,4,2.5,3880,35003,2,3,10,2570,1310,1984,98033
"175",673000,4,2.25,2590,8190,2,4,8,2590,0,1980,98006
"176",425000,3,2.5,1120,1100,2,3,8,820,300,2008,98122
"177",399950,5,2.75,1970,5400,1,3,7,1320,650,1986,98144
"178",385000,3,1,1220,4800,1,3,6,1220,0,1901,98122
"179",269950,3,1.5,1950,7560,1,4,7,1320,630,1975,98022
"180",330000,2,1,1350,8220,1,3,7,1060,290,1949,98177
"181",260000,3,2.5,1670,5797,2,3,7,1670,0,1988,98030
"182",470000,4,3,2380,5125,1.5,4,7,1680,700,1925,98126
"183",589000,4,3,2440,9600,2,5,7,2440,0,1961,98034
"184",163500,2,1.5,1050,3419,2,3,7,1050,0,1996,98038
"185",835000,4,2.75,3130,13412,2,3,9,2140,990,1993,98052
"186",1100000,5,3,4090,12850,1,4,10,2090,2000,1986,98033
"187",269000,4,1.75,1490,10000,1,4,8,1100,390,1969,98023
"188",560000,3,2.5,1900,8744,2,3,8,1900,0,1987,98074
"189",615000,4,1,1330,2400,1.5,4,6,1330,0,1901,98103
"190",585188,3,2.25,2230,10026,1,3,8,1430,800,1975,98052
"191",305000,3,1.75,1650,9480,1,3,7,1220,430,1977,98034
"192",166950,3,1,1190,8820,1,3,6,1190,0,1959,98058
"193",799000,3,2.5,2140,9897,1,4,8,2140,0,1959,98040
"194",4e+05,3,2.5,2180,7508,1,4,7,1420,760,1962,98133
"195",230000,3,1,1060,10228,1,3,7,1060,0,1948,98155
"196",256883,3,2.5,1690,5025,2,3,8,1690,0,2003,98023
"197",423000,4,2,1970,6480,1.5,5,7,1130,840,1920,98108
"198",465000,3,2.5,2150,4084,2,3,8,2150,0,2007,98126
"199",440000,3,2.5,1910,66211,2,3,7,1910,0,1997,98024
"200",385000,3,1.75,1350,155073,1,4,7,1350,0,1969,98038
"201",210000,3,1,860,11725,1,4,6,860,0,1943,98056
"202",297000,3,2.5,1940,14952,2,3,8,1940,0,1994,98042
"203",470000,3,1,1010,5000,1,3,7,1010,0,1952,98107
"204",226500,3,1.5,1300,7370,1,4,7,900,400,1976,98023
"205",274250,3,1,910,8450,1,4,6,910,0,1962,98059
"206",840000,4,1.75,2480,11010,1,4,9,1630,850,1966,98040
"207",677900,3,2.5,2440,4587,2,3,8,2440,0,2010,98052
"208",425000,3,1,1010,5864,1,3,7,1010,0,1915,98116
"209",180250,2,0.75,900,9600,1,3,6,900,0,1941,98166
"210",464000,6,3,2300,3404,2,3,7,1600,700,1920,98133
"211",320000,4,2.25,1550,7579,2,3,8,1550,0,1993,98038
"212",625504,3,2.25,1270,1566,2,3,8,1060,210,2014,98105
"213",592500,4,2.5,2240,12032,1,3,9,2240,0,1983,98074
"214",465000,3,2.5,2714,17936,2,3,9,2714,0,2005,98001
"215",477000,4,2.75,1720,6270,2,3,8,1720,0,1978,98118
"216",280000,2,1,850,16400,1,3,6,850,0,1923,98168
"217",1510000,5,3,3300,33474,1,3,9,1870,1430,1957,98040
"218",445838,3,2.5,2250,5692,2,3,8,2250,0,2000,98146
"219",1070000,2,2.25,3900,14864,1,3,8,1950,1950,1947,98144
"220",467000,2,1.5,1320,10800,1,4,8,1320,0,1947,98177
"221",686000,4,2.5,2760,6440,2,3,10,2760,0,1999,98075
"222",279950,3,2,1750,9750,1,3,7,1350,400,1961,98198
"223",527000,4,2.25,2330,19436,2,3,8,2330,0,1987,98011
"224",325000,3,2.25,2220,16020,1,4,8,1780,440,1966,98030
"225",328000,3,2.25,2020,8379,2,3,7,2020,0,1994,98038
"226",390000,3,2.25,1250,7500,1,5,7,1250,0,1942,98146
"227",479950,2,2,1510,6516,1,3,8,1510,0,2005,98053
"228",264950,4,2.25,1720,9753,1,4,7,1120,600,1978,98023
"229",235000,3,1,1430,15246,1,4,7,980,450,1961,98031
"230",516500,3,2.5,1480,4729,2,3,7,1480,0,2004,98053
"231",655000,2,1.75,1450,15798,2,3,7,1230,220,1915,98166
"232",5e+05,4,2.75,2280,15347,1,5,7,2280,0,1960,98059
"233",315000,6,2.75,2940,7350,1,3,8,1780,1160,1978,98023
"234",213000,2,1,1000,10200,1,3,6,1000,0,1961,98024
"235",475000,3,1.5,2480,5280,1.5,5,7,1620,860,1947,98108
"236",1030000,5,4,3760,28040,2,3,10,3760,0,1983,98033
"237",416000,3,2,2220,94300,1,5,7,1640,580,1976,98010
"238",410000,4,1,1970,4740,1.5,3,7,1670,300,1904,98122
"239",8e+05,3,3.5,3830,221284,2,3,10,3530,300,1993,98077
"240",472000,6,2.5,4410,14034,1,4,9,2350,2060,1965,98003
"241",225000,3,1.75,1430,8505,1,4,7,1430,0,1968,98003
"242",210000,2,1,830,6000,1,3,6,830,0,1940,98126
"243",455000,2,1,1430,5000,1.5,2,7,1430,0,1925,98115
"244",225000,3,1,1300,8316,1,4,6,1300,0,1954,98002
"245",480000,2,1,1030,3060,1,4,7,790,240,1918,98103
"246",363000,3,2.5,2740,11872,2,3,9,2740,0,1990,98023
"247",2400000,4,2.5,3650,8354,1,3,9,1830,1820,2000,98074
"248",181000,2,1.5,720,5120,1,3,6,720,0,1954,98106
"249",250000,4,2,2010,7312,1,4,7,2010,0,1976,98002
"250",481000,3,1.75,1560,3000,1,4,6,770,790,1918,98103
"251",260000,3,2,1810,7209,1,4,7,1240,570,1978,98032
"252",455000,4,2.5,3360,7685,2,3,9,3360,0,2001,98058
"253",415000,3,2.25,1510,36224,2,3,8,1510,0,1991,98045
"254",349500,3,1,1400,3538,1,3,7,800,600,1953,98118
"255",245000,3,2.5,1730,7442,2,3,7,1730,0,1987,98030
"256",592500,2,2,1420,9191,1.5,5,7,1420,0,1928,98115
"257",385000,4,1.75,2360,7620,1,4,7,1180,1180,1955,98106
"258",315000,3,1.75,1580,11455,1,4,7,1200,380,1974,98059
"259",255000,3,1,1230,10170,1,3,7,1230,0,1979,98045
"260",693000,4,2.5,2460,4425,2,3,8,2460,0,2006,98052
"261",780000,3,1,1660,4400,1.5,3,8,1460,200,1911,98112
"262",237000,3,1.75,1270,8470,1,4,7,1270,0,1960,98198
"263",525000,3,2.25,2100,40510,2,3,10,1320,780,1979,98074
"264",425000,2,1,770,5040,1,3,5,770,0,1930,98144
"265",369900,1,0.75,760,10079,1,5,5,760,0,1936,98070
"266",290000,4,2.5,1700,7280,2,4,7,1700,0,1988,98031
"267",285000,3,1,1120,10701,1,3,7,1120,0,1954,98106
"268",415000,2,1,1070,4500,1,3,7,1070,0,1937,98115
"269",272500,3,2.5,2070,9900,1,3,8,1420,650,1979,98023
"270",2900000,4,3.25,5050,20100,1.5,3,11,4750,300,1982,98004
"271",1370000,4,4.75,5310,57346,2,4,11,5310,0,1989,98077
"272",436000,2,1,1040,7538,1,4,7,1040,0,1939,98133
"273",210000,3,1,1700,11390,1,4,7,1700,0,1967,98003
"274",236000,3,1,1300,5898,1,3,7,1300,0,1961,98178
"275",331000,3,1.75,1080,1306,1,3,7,580,500,1954,98199
"276",365000,3,2.5,2653,4510,2,3,8,2653,0,2006,98031
"277",450000,3,2,2290,16258,1,5,8,2290,0,1960,98058
"278",770000,4,2.75,3820,26300,2,3,9,2850,970,2014,98028
"279",455000,4,2.5,2210,49375,1,3,8,2210,0,1997,98038
"280",405000,3,1.75,2390,6000,1,3,6,1240,1150,1908,98118
"281",304900,4,1.75,2600,11325,1,4,7,1610,990,1969,98031
"282",170000,2,1,860,5265,1,3,6,860,0,1931,98178
"283",2050000,5,3,3830,8480,2,5,9,2630,1200,1905,98122
"284",780000,4,2.5,3500,7048,2,3,9,3500,0,2005,98053
"285",330000,3,3,2420,13959,1,4,8,1740,680,1988,98028
"286",370000,4,2.5,2720,8666,2,3,9,2720,0,1992,98030
"287",467000,5,2.25,2500,13500,1,3,7,1850,650,1979,98072
"288",405000,3,1.75,1670,6720,1,3,7,1140,530,1980,98034
"289",675000,5,2.25,2900,10300,1,3,8,1450,1450,1985,98006
"290",5e+05,2,1,1640,14100,1,4,7,1140,500,1954,98006
"291",389999,4,2.5,1890,15770,2,4,7,1890,0,1968,98166
"292",630000,4,1.75,2950,9025,1,4,8,1780,1170,1975,98034
"293",360000,4,2.5,2160,9528,2,3,9,2160,0,1992,98001
"294",580000,4,3,3280,11060,2,3,8,2270,1010,1986,98056
"295",550000,3,2,1970,4166,2,5,8,1270,700,1929,98126
"296",879000,4,2.5,3360,22111,2,3,10,3360,0,1994,98075
"297",265000,3,2,1320,8959,1,3,7,1320,0,1993,98042
"298",446500,3,2.5,2650,7286,2,3,8,2650,0,1990,98059
"299",404000,3,1.5,2030,8880,1,3,7,1330,700,1963,98108
"300",267500,3,1.75,1590,11914,1,3,7,1090,500,1957,98188
"301",3080000,4,5,4550,18641,1,3,10,2600,1950,2002,98074
"302",335000,3,2.5,2440,7632,2,3,8,2440,0,1998,98003
"303",576000,3,2.5,1940,9000,1,4,7,970,970,1948,98117
"304",208633,3,2.5,2040,3810,2,3,8,2040,0,2006,98038
"305",315000,3,2.25,2200,8750,1,4,7,1120,1080,1964,98166
"306",725000,3,1.75,1920,3300,1,4,8,960,960,1913,98112
"307",550000,4,2.75,1800,7750,1,4,8,1400,400,1965,98177
"308",610750,4,2.25,2180,7297,2,3,8,2180,0,1984,98074
"309",550700,2,1,1010,5000,1.5,4,6,1010,0,1908,98105
"310",665000,4,2.75,3320,10574,2,5,8,2220,1100,1960,98056
"311",834000,4,2.5,2370,4000,1.5,5,8,1980,390,1928,98144
"312",201000,5,1.75,1660,78408,1.5,3,6,1660,0,1915,98065
"313",2380000,5,2.5,3650,9050,2,5,10,3370,280,1921,98119
"314",1380000,4,3.25,4290,12103,1,3,11,2690,1600,1997,98006
"315",1400000,4,3.25,4290,12103,1,3,11,2690,1600,1997,98006
"316",305000,4,2.25,1950,7700,1,3,8,1350,600,1979,98058
"317",487000,3,2,2590,14052,1,5,8,1720,870,1948,98133
"318",390000,3,2.5,1930,64904,1,4,8,1930,0,1988,98042
"319",548000,2,1,1470,3864,1,4,7,1170,300,1916,98103
"320",268750,4,1,800,8775,1,3,6,800,0,1943,98166
"321",819900,5,2.75,3150,7119,2,3,9,3150,0,2013,98052
"322",520000,3,2.25,2030,16200,2,3,8,2030,0,1984,98027
"323",230000,3,2,1450,11204,1,3,7,1450,0,2003,98001
"324",240000,3,1.75,1510,10248,1,3,7,1510,0,1969,98023
"325",232000,2,1,1240,12092,1,3,6,960,280,1922,98146
"326",240500,2,1,1240,12092,1,3,6,960,280,1922,98146
"327",274975,3,2.5,3030,45004,2,3,9,3030,0,1987,98077
"328",740000,4,2,2050,4400,1.5,4,9,2050,0,1922,98102
"329",186375,3,1,1000,7636,1,2,7,1000,0,1952,98166
"330",790000,3,2.25,2370,10289,1,4,9,1590,780,1977,98005
"331",880000,4,3.5,2800,6750,2,3,9,1890,910,1951,98105
"332",279000,6,1.75,2240,11180,2,4,7,2240,0,1955,98198
"333",295000,3,2,1810,10530,1,3,8,1810,0,1991,98022
"334",640000,2,1,1070,5000,1,3,7,1070,0,1924,98103
"335",940000,4,2,2490,9525,2,5,9,2490,0,1968,98040
"336",260000,4,2.5,1960,5238,2,3,7,1960,0,2003,98038
"337",559900,3,2.75,2930,5569,1,3,9,1860,1070,2004,98072
"338",791500,4,2,1510,3500,1.5,5,7,1510,0,1911,98103
"339",265000,3,1.75,1420,8250,1,3,7,1420,0,1954,98133
"340",245000,3,1.75,1740,11547,1,3,7,1740,0,1954,98178
"341",485000,4,1.75,2560,43995,2,4,7,2560,0,1962,98052
"342",684000,4,3.5,3040,8414,2,3,9,2420,620,2010,98059
"343",425000,3,1.75,2500,6840,1,3,8,1300,1200,1957,98125
"344",309600,4,1.75,1275,20000,1,4,6,1275,0,1991,98070
"345",552250,4,2.5,2580,5823,2,3,8,2580,0,2002,98065
"346",165000,4,1,1000,7134,1,3,6,1000,0,1943,98178
"347",239900,4,1,1000,7134,1,3,6,1000,0,1943,98178
"348",320000,2,1,1070,32633,1,4,6,1070,0,1930,98059
"349",206600,3,2,1390,13464,1,4,7,1390,0,1987,98030
"350",387000,4,1.75,2500,7690,1,3,7,1250,1250,1973,98155
"351",299000,1,0.75,560,12120,1,3,4,560,0,1967,98014
"352",855000,4,2.75,2270,10460,2,3,9,2270,0,1965,98040
"353",315000,3,1,1900,14400,1,4,7,1300,600,1954,98166
"354",437500,2,1,990,3120,1,5,7,790,200,1907,98103
"355",252000,4,1.5,1550,19800,1,4,7,1050,500,1969,98001
"356",375000,4,1.75,2200,7475,1,5,7,1100,1100,1955,98118
"357",3e+05,4,2.5,1910,4862,2,3,7,1910,0,2005,98038
"358",420000,4,1,1750,9600,1.5,4,7,1750,0,1954,98006
"359",9e+05,3,1,1330,77972,1,3,7,1330,0,1928,98033
"360",679900,3,2.5,2440,5750,2,3,9,1980,460,2000,98116
"361",463000,3,2.5,1640,29970,2,3,7,1640,0,1992,98053
"362",380000,5,2.5,2760,11340,2,4,9,2760,0,1978,98059
"363",329500,4,2.5,1820,7912,2,3,7,1820,0,1994,98038
"364",604950,3,2.5,2110,5608,1,3,8,1340,770,2013,98033
"365",795000,5,2.5,3040,9570,1,4,8,1640,1400,1966,98006
"366",465000,3,2,1840,40438,2,3,7,1840,0,1994,98045
"367",673000,4,2.5,2990,10400,2,3,9,2990,0,2002,98166
"368",810000,4,2.5,3520,15420,2,3,10,3520,0,1991,98074
"369",785000,4,2.75,2440,69415,1,4,8,1910,530,1989,98075
"370",338000,4,3,2090,7500,1,3,7,1370,720,1986,98056
"371",280000,3,2.25,1430,7222,2,3,7,1430,0,1993,98056
"372",315000,4,2.25,2180,10754,1,5,7,1100,1080,1954,98133
"373",530000,4,2.25,2180,10754,1,5,7,1100,1080,1954,98133
"374",380000,5,3,3450,9914,2,3,9,3450,0,2004,98023
"375",297000,3,2.25,1450,7562,2,3,7,1450,0,1994,98056
"376",730000,4,2.5,3230,7331,2,3,10,3230,0,2004,98075
"377",450000,3,1.75,1640,13500,1,3,7,1110,530,1940,98125
"378",275000,3,3,1590,7750,1,3,7,1060,530,1997,98038
"379",595000,4,2,2020,2849,2,3,7,2020,0,1960,98115
"380",435000,3,1.5,1300,3348,1.5,3,7,1300,0,1904,98144
"381",270000,2,1.5,1380,209959,1,1,6,1380,0,1954,98011
"382",950000,3,3,4040,14338,2,3,10,3030,1010,1986,98077
"383",389000,4,2.25,2130,5337,2,3,7,2130,0,2001,98019
"384",560000,4,2.25,2550,7800,1,3,8,1580,970,1968,98052
"385",1350000,5,3.5,4800,14984,2,3,11,3480,1320,1998,98006
"386",799000,4,2.25,2510,11585,2,4,8,2510,0,1969,98040
"387",365500,3,2,1410,9600,1,4,7,1410,0,1983,98072
"388",252350,3,2,1650,7352,1,3,7,1160,490,1979,98058
"389",403950,4,2.5,2120,13780,2,3,8,2120,0,1993,98146
"390",385000,4,1.5,2040,10726,1,3,7,1380,660,1954,98177
"391",345000,4,1,1550,7620,1.5,3,7,1550,0,1957,98106
"392",490000,3,2.75,1980,3128,2,4,9,1980,0,1979,98008
"393",330000,3,2.5,1600,26977,2,3,8,1600,0,2005,98019
"394",927000,4,2.75,3300,12090,2,3,8,3300,0,1953,98004
"395",1120000,4,2.5,3840,16619,2,4,10,3840,0,1983,98040
"396",330000,2,1,1220,10000,1,5,7,1220,0,1950,98028
"397",530000,5,2.25,2720,8800,1,4,7,1500,1220,1958,98008
"398",365000,4,2,1940,25600,1,1,8,1940,0,1962,98006
"399",378750,3,2.5,2160,3000,1.5,3,7,1260,900,1909,98118
"400",269900,4,1.75,1530,8750,1.5,4,7,1530,0,1968,98058
